Policy No,Policy Sys Id,IDX,Amt,
P-4203-90-2026-00051,3609948,0,1.10,
P-2400-90-2026-00431,3610017,0,1.10,
P-2403-90-2026-00081,3609870,0,1.10,
P-9071-90-2026-00008,3609994,0,1.10,
P-2408-90-2026-00064,3609780,0,1.10,
P-9075-90-2026-00020,3609874,0,1.10,
P-1411-90-2026-00082,3609828,0,1.10,
P-2604-90-2026-00030,3610345,0,1.10,
P-2200-90-2026-00079,3610592,0,1.10,
P-4000-90-2026-00204,3611177,0,1.10,
P-4400-90-2026-00081,3611088,0,1.10,
P-3200-90-2026-00393,3610682,0,1.10,
P-3200-90-2026-00446,3611333,0,1.10,
P-9061-91-2026-00088,3610046,0,1.10,
P-9061-91-2026-00087,3610064,0,1.10,
P-9070-90-2026-00015,3610052,0,1.10,
P-9086-90-2026-00056,3610455,0,1.10,
P-3211-90-2026-00107,3610732,0,1.10,
P-2202-90-2026-00102,3611104,0,1.10,
P-1452-90-2026-00026,3610111,0,1.10,
P-2400-90-2026-00469,3610799,0,1.10,
P-2604-90-2026-00040,3610869,0,1.10,
P-9102-90-2026-00004,3610870,0,1.10,
P-9061-90-2026-00052,3611019,0,1.10,
P-1488-90-2026-00070,3610625,0,1.10,
P-4000-90-2026-00184,3610530,0,1.10,
P-4200-90-2026-00211,3610366,0,1.70,
P-2408-91-2026-00006,3610555,0,1.10,
P-4000-90-2026-00202,3611084,0,1.10,
P-3200-90-2026-00386,3610309,0,1.10,
P-4400-90-2026-00067,3610334,0,1.10,
P-2200-90-2026-00078,3610459,0,1.10,
P-9061-90-2026-00051,3610822,0,1.10,
P-2400-90-2026-00482,3611038,0,1.10,
P-4005-90-2026-00039,3611214,0,1.10,
P-2202-90-2026-00103,3611285,0,1.10,
P-3400-90-2026-00066,3610410,0,1.70,
P-3900-90-2026-00012,3610631,0,1.10,
P-4200-90-2026-00234,3611055,0,1.10,
P-4203-90-2026-00058,3610370,0,1.10,
P-4202-92-2026-00030,3610425,0,1.10,
P-9086-91-2026-00019,3610507,0,1.10,
P-4400-90-2026-00079,3611042,0,1.10,
P-3600-90-2026-00103,3610942,0,1.70,
P-1492-90-2026-00022,3610511,0,1.10,
P-3600-90-2026-00105,3611017,0,1.70,
P-2600-90-2026-00056,3610314,0,1.10,
P-3200-90-2026-00376,3610093,0,1.10,
P-4400-90-2026-00076,3610768,0,1.10,
P-4203-90-2026-00064,3610858,0,1.10,
P-1477-90-2026-00027,3610689,0,1.10,
P-1488-90-2026-00078,3611351,0,1.10,
P-3200-90-2026-00468,3611560,0,1.10,
P-1200-90-2026-00311,3611449,0,1.10,
P-9086-93-2026-00007,3611035,0,1.10,
P-3200-90-2026-00448,3611354,0,1.10,
P-3211-90-2026-00106,3610690,0,1.10,
P-1411-90-2026-00107,3611269,0,1.10,
P-2403-90-2026-00089,3610223,0,1.10,
P-2407-90-2026-00096,3610970,0,1.70,
P-2214-90-2026-00039,3611423,0,1.10,
P-1400-90-2026-00046,3611613,0,1.70,
P-3400-90-2026-00081,3611667,0,1.70,
P-4400-90-2026-00087,3611403,0,1.10,
P-3211-90-2026-00135,3611814,0,1.10,
P-3200-90-2026-00415,3610920,0,1.10,
P-4000-90-2026-00187,3610646,0,1.10,
P-4000-90-2026-00188,3610703,0,1.10,
P-4000-90-2026-00213,3611453,0,1.10,
P-1477-90-2026-00026,3610395,0,1.10,
P-3200-90-2026-00406,3610786,0,1.10,
P-8043-98-2026-00007,3607774,0,18.70,
P-2400-91-2026-00056,3610447,0,1.10,
P-1200-90-2026-00253,3610393,0,1.10,
P-2000-90-2026-00066,3610720,0,1.10,
P-3800-90-2026-00146,3610485,0,1.10,
P-4400-90-2026-00090,3611441,0,1.10,
P-1200-90-2026-00326,3611636,0,1.10,
P-9077-90-2026-00017,3610569,0,1.10,
P-9061-90-2026-00054,3611099,0,1.10,
P-4202-90-2026-00091,3611426,0,1.10,
P-2403-90-2026-00099,3610857,0,1.10,
P-3200-90-2026-00423,3610998,0,1.10,
P-9075-90-2026-00021,3610396,0,1.10,
P-2400-90-2026-00509,3611498,0,1.10,
P-3800-90-2026-00173,3611610,0,1.10,
P-8035-90-2026-00027,3611735,0,1.10,
P-3205-90-2026-00044,3611619,0,1.10,
P-1200-90-2026-00290,3611209,0,1.10,
P-1488-90-2026-00073,3610811,0,1.10,
P-1477-90-2026-00032,3611125,0,1.10,
P-3900-90-2026-00009,3610112,0,1.10,
P-8035-90-2026-00025,3611115,0,1.10,
P-4200-90-2026-00222,3610649,0,1.10,
P-1411-90-2026-00101,3610552,0,1.10,
P-1200-90-2026-00272,3610774,0,1.10,
P-1492-91-2026-00014,3611047,0,1.10,
P-1488-90-2026-00079,3611394,0,1.10,
P-2000-90-2026-00078,3611393,0,1.10,
P-1200-90-2026-00282,3611066,0,1.10,
P-4006-91-2026-00086,3611025,0,1.10,
P-3211-90-2026-00128,3611752,0,1.10,
P-2400-90-2026-00488,3611185,0,1.10,
P-1200-90-2026-00292,3611211,0,1.10,
P-4400-90-2026-00072,3610589,0,1.10,
P-2301-92-2026-00037,3610730,0,1.70,
P-2400-90-2026-00450,3610264,0,1.10,
P-4200-90-2026-00226,3610835,0,1.70,
P-2202-90-2026-00110,3611816,0,1.10,
P-2408-90-2026-00093,3611798,0,1.10,
P-9082-90-2026-00012,3611352,0,1.10,
P-3600-90-2026-00095,3610445,0,1.70,
P-2403-92-2026-00039,3611766,0,1.10,
P-1411-90-2026-00093,3610161,0,1.10,
P-2400-90-2026-00461,3610613,0,1.10,
P-1411-90-2026-00100,3610531,0,1.10,
P-4203-90-2026-00053,3610091,0,1.10,
P-4200-91-2026-00016,3610711,0,1.10,
P-9068-90-2026-00024,3610467,0,1.10,
P-1200-90-2026-00298,3611282,0,1.10,
P-1488-90-2026-00066,3610320,0,1.10,
P-3800-90-2026-00142,3610337,0,1.10,
P-9076-90-2026-00022,3611555,0,1.10,
P-2403-90-2026-00107,3611156,0,1.10,
P-9086-91-2026-00023,3613492,0,1.10,
P-2408-90-2026-00098,3612018,0,1.10,
P-9086-90-2026-00078,3612787,0,1.10,
P-1200-90-2026-00373,3612969,0,1.10,
P-2400-90-2026-00594,3612820,0,1.10,
P-1200-90-2026-00345,3612161,0,1.10,
P-2400-90-2026-00622,3613182,0,1.10,
P-3200-90-2026-00552,3612979,0,1.10,
P-2403-90-2026-00120,3612678,0,1.10,
P-3200-90-2026-00522,3612472,0,1.10,
P-2400-90-2026-00602,3612973,0,1.10,
P-3200-92-2026-00043,3612708,0,1.10,
P-1200-91-2026-00088,3612726,0,1.70,
P-2600-90-2026-00078,3613240,0,1.10,
P-1488-90-2026-00104,3612925,0,1.10,
P-3200-90-2026-00562,3613171,0,1.10,
P-8000-98-2026-00003,3609434,0,9.90,
P-2400-90-2026-00615,3613103,0,1.10,
P-3800-90-2026-00192,3612513,0,1.10,
P-1474-91-2026-00015,3613374,0,1.70,
P-2000-90-2026-00098,3612238,0,1.10,
P-2202-90-2026-00128,3613360,0,1.10,
P-8000-91-2026-00048,3612851,0,1.10,
P-3800-90-2026-00178,3611918,0,1.10,
P-1400-90-2026-00055,3612944,0,1.10,
P-3211-91-2026-00134,3612916,0,1.10,
P-1400-91-2026-00010,3612620,0,1.70,
P-4200-90-2026-00252,3612020,0,1.10,
P-2408-90-2026-00095,3611954,0,1.10,
P-2200-90-2026-00113,3612740,0,1.10,
P-2400-90-2026-00619,3613167,0,1.10,
P-1200-90-2025-03850,3338992,1,1.10,
P-3211-90-2026-00144,3612814,0,1.10,
P-2400-90-2026-00609,3613025,0,1.10,
P-1200-90-2026-00367,3612792,0,1.10,
P-4006-91-2026-00113,3613013,0,1.10,
P-1452-90-2026-00039,3612079,0,1.10,
P-4200-90-2026-00255,3612166,0,1.10,
P-4200-90-2026-00293,3613015,0,1.10,
P-4203-91-2026-00010,3612490,0,1.10,
P-1477-90-2026-00044,3613224,0,1.10,
P-3200-90-2026-00580,3613291,0,1.10,
P-2200-90-2026-00102,3612280,0,1.10,
P-2400-90-2026-00560,3612369,0,1.10,
P-2400-90-2026-00548,3612146,0,1.10,
P-4000-90-2026-00234,3612480,0,1.10,
P-2403-92-2026-00049,3612421,0,1.10,
P-3400-90-2026-00100,3612439,0,1.10,
P-4000-90-2026-00224,3612119,0,1.10,
P-2406-90-2026-00028,3612315,0,1.10,
P-4000-90-2026-00243,3612688,0,1.10,
P-2600-90-2026-00066,3611931,0,1.10,
P-3200-90-2026-00504,3612173,0,1.10,
P-1200-90-2026-00361,3612622,0,1.10,
P-1411-90-2026-00120,3612408,0,1.10,
P-3901-90-2026-00017,3612503,0,1.10,
P-2409-90-2026-00014,3612253,0,1.10,
P-4203-90-2026-00085,3612483,0,1.10,
P-9061-98-2025-00025,3507859,4,5.50,
P-4200-90-2026-00263,3612325,0,1.70,
P-1488-90-2026-00099,3612477,0,1.10,
P-2000-92-2026-00063,3612319,0,1.10,
P-4202-90-2026-00099,3612205,0,1.70,
P-2400-90-2026-00544,3612115,0,1.10,
P-3600-90-2026-00113,3612167,0,1.70,
P-3400-90-2026-00103,3613229,0,1.70,
P-9082-90-2026-00016,3613451,0,1.10,
P-8069-96-2025-00002,3251624,65,1.10,
P-2400-90-2026-00559,3612299,0,1.10,
P-1488-90-2026-00109,3613263,0,1.10,
P-3600-90-2026-00125,3612856,0,1.70,
P-1474-90-2026-00035,3613125,0,1.10,
P-9070-90-2026-00023,3613383,0,1.10,
P-3211-90-2026-00146,3612903,0,1.10,
P-2301-90-2026-00045,3612960,0,1.10,
P-2600-92-2026-00015,3613314,0,1.10,
P-2200-90-2026-00097,3612206,0,1.10,
P-9070-91-2026-00007,3613126,0,1.10,
P-2409-90-2026-00016,3612926,0,1.10,
P-4000-90-2026-00256,3613130,0,1.10,
P-3603-90-2026-00034,3612366,0,1.70,
P-4000-90-2026-00254,3613031,0,1.10,
P-1488-90-2026-00105,3613065,0,1.10,
P-2301-90-2026-00048,3613333,0,1.70,
P-3200-90-2026-00583,3613325,0,1.10,
P-2000-90-2026-00099,3612264,0,1.10,
P-2604-91-2026-00008,3613452,0,1.10,
P-2202-90-2026-00131,3613412,0,1.10,
P-3400-90-2026-00101,3612680,0,1.70,
P-4202-90-2026-00108,3613350,0,1.10,
P-1488-90-2026-00101,3612577,0,1.10,
P-3200-90-2026-00505,3612194,0,1.10,
P-4200-90-2026-00286,3612806,0,1.10,
P-2409-90-2026-00017,3613482,0,1.10,
P-1492-90-2026-00031,3612288,0,1.10,
P-2301-90-2026-00041,3612720,0,1.10,
P-2400-90-2026-00553,3612193,0,1.10,
P-4006-90-2026-00062,3613430,0,1.10,
P-9071-90-2026-00013,3613476,0,1.10,
P-4006-90-2026-00082,3614957,0,1.10,
P-2400-90-2026-00699,3614443,0,1.10,
P-2405-90-2026-00039,3614209,0,1.10,
P-2400-90-2026-00693,3614346,0,1.10,
P-1488-91-2026-00168,3614915,0,1.70,
P-9077-90-2026-00027,3613845,0,1.10,
P-2200-90-2026-00136,3614107,0,1.10,
P-1200-90-2026-00456,3614558,0,1.10,
P-3901-90-2026-00023,3614709,0,1.10,
P-4006-90-2026-00074,3614499,0,1.10,
P-1200-90-2026-00470,3614700,0,1.10,
P-3200-90-2026-00658,3614720,0,1.10,
P-1200-90-2026-00426,3614105,0,1.10,
P-2400-90-2026-00650,3613639,0,1.10,
P-1200-90-2026-00428,3614125,0,1.10,
P-2400-90-2026-00727,3614811,0,1.10,
P-4005-90-2026-00053,3614776,0,1.10,
P-3200-90-2026-00660,3614758,0,1.10,
P-9097-90-2026-00033,3614624,0,1.10,
P-1488-90-2026-00124,3614551,0,1.10,
P-9061-91-2026-00150,3614636,0,1.10,
P-2000-90-2026-00126,3614251,0,1.10,
P-1200-90-2026-00452,3614518,0,1.10,
P-3200-90-2026-00666,3614907,0,1.10,
P-1200-90-2026-00442,3614366,0,1.10,
P-3200-90-2026-00662,3614815,0,1.10,
P-3800-90-2026-00234,3614591,0,1.10,
P-1411-90-2026-00160,3614887,0,1.10,
P-1200-90-2026-00427,3614106,0,1.10,
P-2400-90-2026-00734,3614981,0,1.10,
P-4000-90-2026-00273,3613953,0,1.10,
P-1200-90-2026-00466,3614642,0,1.10,
P-9086-90-2026-00092,3614434,0,1.10,
P-2400-90-2026-00703,3614541,0,1.10,
P-1402-96-2026-00001,3608026,0,19.80,
P-9077-90-2026-00034,3614959,0,1.10,
P-2408-90-2026-00108,3613776,0,1.10,
P-4200-91-2026-00030,3614527,0,1.10,
P-3200-90-2026-00638,3614397,0,1.10,
P-2403-90-2026-00131,3614170,0,1.10,
P-3400-90-2026-00124,3614598,0,1.70,
P-4203-90-2026-00098,3613980,0,1.10,
P-2400-90-2026-00659,3613724,0,1.10,
P-9075-91-2026-00031,3613977,0,1.10,
P-1492-90-2026-00040,3613827,0,1.10,
P-9068-91-2026-00028,3614038,0,1.10,
P-3200-92-2026-00060,3613878,0,1.10,
P-8000-90-2026-00055,3614260,0,1.10,
P-3200-90-2026-00637,3614369,0,1.10,
P-9097-90-2026-00039,3614965,0,1.10,
P-2400-90-2026-00707,3614573,0,1.70,
P-1200-90-2026-00409,3613709,0,1.10,
P-9097-90-2026-00035,3614978,0,1.10,
P-2600-90-2026-00090,3613733,0,1.10,
P-3901-90-2026-00021,3614198,0,1.10,
P-9061-91-2026-00137,3613783,0,1.10,
P-2200-90-2026-00128,3613831,0,1.10,
P-2000-90-2026-00119,3613821,0,1.10,
P-2408-90-2026-00111,3614222,0,1.10,
P-3400-90-2026-00121,3614180,0,1.70,
P-3200-90-2026-00653,3614680,0,1.10,
P-4200-90-2026-00303,3613540,0,1.10,
P-3200-90-2026-00652,3614650,0,1.10,
P-3200-90-2026-00655,3614695,0,1.10,
P-3211-91-2026-00138,3613466,0,1.10,
P-2400-90-2026-00704,3614547,0,1.10,
P-2409-90-2026-00021,3613588,0,1.10,
P-1200-90-2026-00422,3614040,0,1.10,
P-3211-90-2026-00171,3614054,0,1.10,
P-9097-90-2026-00038,3614982,0,1.10,
P-1200-90-2026-00414,3613881,0,1.10,
P-4202-91-2026-00025,3613563,0,1.70,
P-2202-90-2026-00147,3614326,0,1.70,
P-3211-90-2026-00165,3613612,0,1.10,
P-2400-90-2026-00657,3613721,0,1.10,
P-2000-90-2026-00128,3614327,0,1.10,
P-3200-90-2026-00670,3614929,0,1.10,
P-3400-90-2026-00106,3613566,0,1.70,
P-4006-90-2026-00066,3614012,0,1.10,
P-1488-90-2026-00121,3614415,0,1.10,
P-3200-90-2026-00626,3614161,0,1.10,
P-4200-90-2026-00313,3614043,0,1.10,
P-9076-90-2026-00031,3614454,0,1.10,
P-3200-90-2026-00612,3613984,0,1.10,
P-2202-90-2026-00145,3614240,0,1.10,
P-1474-90-2026-00042,3614713,0,1.10,
P-3800-90-2026-00221,3613944,0,1.10,
P-3800-90-2026-00216,3613684,0,1.10,
P-2400-90-2026-00645,3613544,0,1.10,
P-2400-90-2026-00643,3613542,0,1.10,
P-2000-90-2026-00112,3613632,0,1.10,
P-9061-91-2026-00135,3613565,0,1.10,
P-3211-91-2026-00133,3612756,0,1.10,
P-2202-92-2026-00090,3613818,0,1.70,
P-2000-90-2026-00117,3613798,0,1.10,
P-3205-91-2026-00022,3613768,0,1.70,
P-9070-90-2026-00025,3613761,0,1.10,
P-2200-90-2026-00126,3613778,0,1.10,
P-4006-91-2026-00128,3613753,0,1.10,
P-2400-90-2026-00641,3613535,0,1.10,
P-2400-90-2026-00640,3613523,0,1.10,
P-4000-90-2026-00270,3613874,0,1.10,
P-2400-90-2026-00646,3613551,0,1.10,
P-2000-90-2026-00110,3613525,0,1.10,
P-2202-90-2026-00138,3613518,0,1.70,
P-2400-90-2026-00642,3613537,0,1.10,
P-9102-90-2026-00008,3615501,0,1.10,
P-1411-90-2026-00165,3615115,0,1.10,
P-3200-90-2026-00705,3615865,0,1.10,
P-3800-90-2026-00237,3615097,0,1.10,
P-9061-97-2025-00007,3529517,3,2.20,
P-2200-90-2026-00160,3615372,0,1.10,
P-4200-90-2026-00382,3615914,0,1.10,
P-4200-90-2026-00368,3615483,0,1.10,
P-2408-90-2026-00118,3615009,0,1.10,
P-2000-90-2026-00151,3615879,0,1.10,
P-2200-90-2026-00153,3615081,0,1.10,
P-1452-90-2026-00052,3615321,0,1.10,
P-9061-91-2026-00174,3615890,0,1.10,
P-4005-90-2026-00060,3615550,0,1.10,
P-2600-90-2026-00115,3615739,0,1.10,
P-2407-90-2026-00135,3615285,0,1.10,
P-3900-90-2026-00035,3615874,0,1.10,
P-9061-90-2026-00083,3615090,0,1.10,
P-4200-90-2026-00357,3615286,0,1.10,
P-3600-90-2026-00166,3616249,0,1.70,
P-3400-90-2026-00127,3615198,0,1.70,
P-3200-90-2026-00786,3616364,0,1.10,
P-4200-90-2026-00364,3615409,0,1.10,
P-2200-90-2026-00161,3615441,0,1.10,
P-3600-90-2026-00158,3615641,0,1.70,
P-3200-90-2026-00677,3615057,0,1.10,
P-2200-90-2026-00158,3615319,0,1.10,
P-4006-91-2026-00147,3615246,0,1.10,
P-4006-90-2026-00101,3616271,0,1.10,
P-2403-90-2026-00147,3615425,0,1.10,
P-1411-90-2026-00183,3616268,0,1.10,
P-1402-90-2026-00001,3615120,0,1.10,
P-1400-90-2026-00081,3615680,0,1.10,
P-2000-90-2026-00136,3615010,0,1.10,
P-4000-90-2026-00341,3616191,0,1.10,
P-2403-90-2026-00158,3615820,0,1.10,
P-3200-90-2026-00692,3615502,0,1.10,
P-2200-92-2026-00066,3615299,0,1.10,
P-2400-90-2026-00759,3615284,0,1.10,
P-2301-90-2026-00058,3615238,0,1.10,
P-3603-90-2026-00053,3616369,0,1.10,
P-3205-90-2026-00073,3616330,0,1.10,
P-2200-90-2026-00171,3616154,0,1.10,
P-4000-90-2026-00312,3615325,0,1.10,
P-1474-91-2026-00020,3615791,0,1.70,
P-2400-90-2026-00735,3615016,0,1.10,
P-2200-90-2026-00156,3615169,0,1.10,
P-2000-90-2026-00140,3615526,0,1.10,
P-3200-90-2026-00772,3616260,0,1.10,
P-1200-90-2026-00513,3616189,0,1.10,
P-3400-90-2026-00136,3616121,0,1.70,
P-4005-90-2026-00063,3616242,0,1.10,
P-9068-90-2026-00030,3614966,0,1.10,
P-2400-90-2026-00763,3615393,0,1.10,
P-3200-90-2026-00784,3616350,0,1.10,
P-2400-90-2026-00792,3615933,0,1.10,
P-3200-90-2026-00682,3615213,0,1.10,
P-9093-90-2026-00018,3615293,0,1.10,
P-4006-90-2026-00085,3615337,0,1.10,
P-3200-90-2026-00775,3616269,0,1.10,
P-1411-91-2026-00022,3615388,0,1.10,
P-2301-90-2026-00060,3615403,0,1.10,
P-1200-90-2026-00488,3615134,0,1.10,
P-9061-91-2026-00153,3614970,0,1.10,
P-2400-90-2026-00757,3615256,0,1.10,
P-1200-90-2026-00503,3615651,0,1.10,
P-9086-90-2026-00107,3615891,0,1.10,
P-4000-90-2026-00324,3615662,0,1.10,
P-9061-91-2026-00169,3615719,0,1.10,
P-1492-90-2026-00049,3615690,0,1.10,
P-2405-90-2026-00042,3615218,0,1.10,
P-9061-90-2026-00086,3615258,0,1.10,
P-1400-90-2026-00077,3615584,0,1.10,
P-3200-90-2026-00695,3615583,0,1.10,
P-1452-90-2026-00050,3615036,0,1.10,
P-3200-90-2026-00769,3616239,0,1.10,
P-4200-91-2026-00032,3616155,0,1.10,
P-1453-91-2026-00007,3614613,0,1.10,
P-3211-90-2026-00213,3616156,0,1.10,
P-9070-90-2026-00031,3615223,0,1.10,
P-4400-90-2026-00163,3616021,0,1.10,
P-2600-90-2026-00122,3616234,0,1.10,
P-3200-90-2026-00776,3616292,0,1.10,
P-3600-90-2026-00162,3615833,0,1.70,
P-1411-90-2026-00171,3615273,0,1.10,
P-1488-90-2026-00139,3616140,0,1.10,
P-1200-90-2026-00515,3616233,0,1.10,
P-4200-90-2026-00359,3615354,0,1.10,
P-3200-92-2026-00064,3615574,0,1.10,
P-9076-90-2026-00032,3615349,0,1.10,
P-1200-90-2026-00490,3615237,0,1.10,
P-2200-90-2026-00168,3616123,0,1.10,
P-1200-91-2026-00116,3615072,0,1.10,
P-1200-90-2026-00507,3615824,0,1.10,
P-2600-90-2026-00113,3615646,0,1.10,
P-2600-90-2026-00114,3615726,0,1.10,
P-4006-90-2026-00090,3615855,0,1.10,
P-1200-90-2026-00505,3615705,0,1.10,
P-4000-90-2026-00325,3615695,0,1.10,
P-4000-90-2026-00319,3615435,0,1.10,
P-3205-90-2026-00070,3615758,0,1.10,
P-8069-98-2026-00004,3609050,3,1.10,
P-4200-90-2026-00394,3616161,0,1.10,
P-1411-90-2026-00178,3616212,0,1.10,
P-2400-90-2026-00808,3616134,0,1.10,
P-3600-90-2026-00153,3615452,0,1.70,
P-1477-90-2026-00066,3615224,0,1.10,
P-9093-92-2026-00011,3617130,0,1.10,
P-9075-90-2026-00055,3616976,0,1.10,
P-3211-91-2026-00168,3616589,0,1.10,
P-3800-91-2026-00030,3616664,0,1.10,
P-1200-90-2026-00541,3616764,0,1.10,
P-4400-91-2026-00083,3616463,0,1.70,
P-3211-90-2026-00245,3617258,0,1.10,
P-4000-90-2026-00362,3617046,0,1.10,
P-2400-90-2026-00866,3617081,0,1.10,
P-9077-90-2026-00039,3617051,0,1.10,
P-4200-90-2026-00427,3617215,0,1.10,
P-1400-90-2026-00094,3617279,0,1.10,
P-3603-90-2026-00054,3616797,0,1.10,
P-9097-90-2026-00050,3616627,0,1.10,
P-1200-90-2026-00535,3616699,0,1.10,
P-2202-90-2026-00172,3617024,0,1.70,
P-4200-90-2026-00412,3616914,0,1.10,
P-4400-91-2026-00089,3617308,0,1.70,
P-1200-90-2026-00572,3617230,0,1.10,
P-1477-90-2026-00079,3617096,0,1.10,
